Student_ID,Student_Name,Roll_No,Year,Division,Stream
BSC001,Aarav Singh,1,FY,A,BSCIT
BSC002,Vivaan Sharma,2,FY,A,BSCIT
BSC003,Aditya Patel,3,FY,A,BSCIT
BSC004,Arjun Kumar,4,FY,A,BSCIT
BSC005,Rohan Mishra,5,FY,A,BSCIT
BSC006,Ishaan Reddy,6,FY,A,BSCIT
BSC007,Nikhil Desai,7,FY,A,BSCIT
BSC008,Karan Nair,8,FY,A,BSCIT
BSC009,Vedant Iyer,9,FY,A,BSCIT
BSC010,Harsh Gupta,10,FY,A,BSCIT
BSC011,Anaya Kapoor,1,FY,B,BSCIT
BSC012,Diya Malhotra,2,FY,B,BSCIT
BSC013,Priya Singh,3,FY,B,BSCIT
BSC014,Neha Chatterjee,4,FY,B,BSCIT
BSC015,Isha Verma,5,FY,B,BSCIT
BSC016,Sneha Bhat,6,FY,B,BSCIT
BSC017,Pooja Menon,7,FY,B,BSCIT
BSC018,Riya Rao,8,FY,B,BSCIT
BSC019,Zara Khan,9,FY,B,BSCIT
BSC020,Kavya Pillai,10,FY,B,BSCIT
BSC021,Rahul Saxena,1,FY,C,BSCIT
BSC022,Sanjay Dixit,2,FY,C,BSCIT
BSC023,Abhishek Yadav,3,FY,C,BSCIT
BSC024,Akshay Jain,4,FY,C,BSCIT
BSC025,Varun Chopra,5,FY,C,BSCIT
BSC026,Ravi Tiwari,6,FY,C,BSCIT
BSC027,Suresh Mehra,7,FY,C,BSCIT
BSC028,Vikram Srivastava,8,FY,C,BSCIT
BSC029,Ajay Bhatt,9,FY,C,BSCIT
BSC030,Pranav Kulkarni,10,FY,C,BSCIT
BSC031,Aisha Reddy,1,SY,A,BSCIT
BSC032,Bhavna Mukherjee,2,SY,A,BSCIT
BSC033,Chitra Nambiar,3,SY,A,BSCIT
BSC034,Divya Lakshmi,4,SY,A,BSCIT
BSC035,Esha Sharma,5,SY,A,BSCIT
BSC036,Falguni Bose,6,SY,A,BSCIT
BSC037,Garima Singh,7,SY,A,BSCIT
BSC038,Himani Verma,8,SY,A,BSCIT
BSC039,Indira Nair,9,SY,A,BSCIT
BSC040,Jahnvi Patil,10,SY,A,BSCIT
BSC041,Kartik Agarwal,1,SY,B,BSCIT
BSC042,Lakshmanan Pillai,2,SY,B,BSCIT
BSC043,Mohan Krishnan,3,SY,B,BSCIT
BSC044,Naveen Bansal,4,SY,B,BSCIT
BSC045,Omkar Savant,5,SY,B,BSCIT
BSC046,Pranesh Dalal,6,SY,B,BSCIT
BSC047,Qasim Ahmed,7,SY,B,BSCIT
BSC048,Rajesh Verma,8,SY,B,BSCIT
BSC049,Sandeep Sinha,9,SY,B,BSCIT
BSC050,Tushar Goyal,10,SY,B,BSCIT
BSC051,Kaveri Dutta,1,SY,C,BSCIT
BSC052,Lila Banerjee,2,SY,C,BSCIT
BSC053,Meera Kapoor,3,SY,C,BSCIT
BSC054,Naina Sinha,4,SY,C,BSCIT
BSC055,Onika Sethi,5,SY,C,BSCIT
BSC056,Pallavi Rao,6,SY,C,BSCIT
BSC057,Quincy Fernandes,7,SY,C,BSCIT
BSC058,Ragini Das,8,SY,C,BSCIT
BSC059,Shalini Gupta,9,SY,C,BSCIT
BSC060,Tanya Chakraborty,10,SY,C,BSCIT
BSC061,Anmol Saxena,1,TY,A,BSCIT
BSC062,Brijesh Wagh,2,TY,A,BSCIT
BSC063,Chirag Reddy,3,TY,A,BSCIT
BSC064,Devendra Manhas,4,TY,A,BSCIT
BSC065,Eshaan Bhargava,5,TY,A,BSCIT
BSC066,Farhan Mirza,6,TY,A,BSCIT
BSC067,Gajendra Singh,7,TY,A,BSCIT
BSC068,Hanuman Pandey,8,TY,A,BSCIT
BSC069,Ishan Vyas,9,TY,A,BSCIT
BSC070,Jayesh Kulkarni,10,TY,A,BSCIT
BSC071,Usha Jain,1,TY,B,BSCIT
BSC072,Vaishali Alam,2,TY,B,BSCIT
BSC073,Wanda Sengupta,3,TY,B,BSCIT
BSC074,Xenia Kaul,4,TY,B,BSCIT
BSC075,Yuki Sharma,5,TY,B,BSCIT
BSC076,Zainab Hussain,6,TY,B,BSCIT
BSC077,Anjali Nayar,7,TY,B,BSCIT
BSC078,Bhavini Raman,8,TY,B,BSCIT
BSC079,Charulata Bhat,9,TY,B,BSCIT
BSC080,Divyanka Iyer,10,TY,B,BSCIT
BSC081,Eesha Deshpande,1,TY,C,BSCIT
BSC082,Fiza Khan,2,TY,C,BSCIT
BSC083,Ginita Joshi,3,TY,C,BSCIT
BSC084,Harshita Mallik,4,TY,C,BSCIT
BSC085,Ishita Chowdhury,5,TY,C,BSCIT
BSC086,Jasmine Nambiar,6,TY,C,BSCIT
BSC087,Kalyani Deshmukh,7,TY,C,BSCIT
BSC088,Lalita Sharma,8,TY,C,BSCIT
BSC089,Mahnoor Hassan,9,TY,C,BSCIT
BSC090,Namrata Kulkarni,10,TY,C,BSCIT
BSCDS091,Akshay Verma,1,FY,A,BSCDS
BSCDS092,Bhavesh Narula,2,FY,A,BSCDS
BSCDS093,Chiranjeev Sinha,3,FY,A,BSCDS
BSCDS094,Dhruv Pillai,4,FY,A,BSCDS
BSCDS095,Eshan Tripathi,5,FY,A,BSCDS
